0	p1	p2	q1	q2
1	27.313	29.732	30.017	33.121
2	22.627	23.345	26	21.541
3	24.413	26.627	26.907	24.207
4	20.809	21.633	24.413	26.249
5	20.518	19.723	23.345	24.083
6	20.248	18.868	25.495	28.018
7	20.616	20.616	21.932	19.698
8	17.692	19.723	17.493	23.707
9	19.313	29.155	31.953	35.114
10	21.954	18.439	34.176	31.78
11	15	22.472	32.45	29.547
12	21.471	19.313	34.438	38.484
13	16.279	17.205	25.612	28.32
14	18.439	18.385	20.248	26.249
15	16.125	15.811	25.612	30.48
16	14.213	13.416	27.866	32.202
17	0	0	46.53	42.048
18	0	0	46.573	44.922
19	0	0	40.853	38.328
20	0	0	39	42.19
21	0	0	35.847	39.446
22	0	0	34.828	38.897
23	0	0	44.324	39.623
24	0	0	42.755	48.384
25	0	0	37.855	40.497
26	0	0	41.976	40.262
27	0	0	35.777	38.601
28	0	0	42.154	40.719
29	0	0	32.28	35.355
30	0	0	33.615	38.013
31	0	0	41.869	39.661
32	0	0	37.643	37.336
33	0	0	38.897	36.401
34	0	0	38.601	37.643
35	0	0	35.114	41.231
36	0	0	38.897	38.626
37	0	0	40.447	43.463
38	0	0	41.11	40.522
39	0	0	38.833	38.275
40	0	0	35.171	44.385
41	0	0	37.59	30
42	0	0	38.601	41.037
43	0	0	35.735	39
44	0	0	35.735	35.468
45	0	0	35.341	36.056
46	0	0	36.688	35.903
47	0	0	34.176	35.777
48	0	0	34.176	32.311
49	0	0	32.985	34.482
50	0	0	33.242	34.438
